Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
21389337368,"[ CHPLAY ] Đồng hồ thông minh Trẻ em JUNIOR09 WATCH 9 PREMIUM, Lắp SIM 4G | Định vị GPS | Tải App MXH | Wifi | Videocall","799,0k",90k+,JUNIOR09 STORE SMARTWATCH,9%,₫71.910,https://shopee.vn/product/507867749/21389337368,https://s.shopee.vn/5L9VZEGiLT
43430363935,"Samsung A06 5G Chính Hãng 6GB+128GB | Chip Dimensity 6300 | Camera 50MP | Màn 6.7"" HD+ 90Hz","2,8tr",15,Factory Mobile,13%,₫362.700,https://shopee.vn/product/1557155991/43430363935,https://s.shopee.vn/6VLSxNCGyi
28394512352,Máy tính bảng Apple iPad A16 11inch Wifi 128GB (Màn hình 11 inch | RAM 6GB | Pin 28.93 Wh),"10,5tr",5k+,PHONG VU Official Store,4%,₫419.600,https://shopee.vn/product/469040198/28394512352,https://s.shopee.vn/6L22l4CuJh
56956313950,"Gậy chụp hình 4 chân Selfie Tripod P180/P185/P320 quay Video Livestream Chụp Hình xoay 360 độ Cao 1,8m 2,2m","218,3k",1k+,LinhkienSGtool,12%,₫26.196,https://shopee.vn/product/88410260/56956313950,https://s.shopee.vn/6AicYlDXeg
49206007956,"Đồng hồ thông minh Xiaomi Mi Band 10 - Màn hình Amoled 1.72"" - Bluetooth 5.4 - Kháng nước 5ATM","1,1tr",645,MiVietnam,6%,₫63.000,https://shopee.vn/product/1708416650/49206007956,https://s.shopee.vn/60PCMSEAzf
52258397759,"Điện thoại Xiaomi 15 Likenew Fullbox ROM QT , Snapdragon 8 Elite, Bảo hành 12 tháng, hỗ trợ lỗi 1 đổi 1 trong 30 ngày.","10,6tr",17,Thuanphatsmartphone 75,8%,₫846.400,https://shopee.vn/product/1779265991/52258397759,https://s.shopee.vn/7Ab9kb9jcu
28381876918,"[Quạt 50 Giờ Liên Tục] Quạt tích điện để bàn, kẹp bàn, kẹp xe đẩy, quạt mini F06 22000mAh 50 giờ liên tục, Có đèn","189,0k",100k+,Thiên Đường Điện Tử HN,6%,₫11.340,https://shopee.vn/product/272296363/28381876918,https://s.shopee.vn/70HjYIAMxt
56051309035,Bộ Củ Cáp Sạc Nhanh 20W An Toàn Ổn Định- Bảo Vệ Thiết Bị- Không Nóng Máy,"95,0k",994,koozan,11%,₫10.450,https://shopee.vn/product/1670725824/56051309035,https://s.shopee.vn/6pyJLzB0Is
42959261800,"Kiumo【Tiếng Việt】Đồng Hồ Trẻ Em 4G, đàm thoại 2 chiều Bluetooth, định vị và cảnh báo nguy hiểm","959,0k",3k+,Kiumo.Baby,16%,₫153.440,https://shopee.vn/product/1523487171/42959261800,https://s.shopee.vn/6fet9gBddr
46801419726,[ƯU ĐÃI ĐỘC QUYỀN] Điện Thoại Honor X9d 5G 8GB/12GB + 256GB/512GB | Pin 8300mAh | Camera AI OIS 108 MP| BH 24 Tháng,"10,5tr",4k+,HONOR Official Store,6%,₫629.400,https://shopee.vn/product/981287673/46801419726,https://s.shopee.vn/7pqqXp7CH6
40805564536,"Redmi Pad 2｜Màn hình 11"" 2,5K siêu rõ nét｜Pin dung lượng khủng đến 9000mAh (typ)｜Helio G100-Ultra tiên tiến","5,7tr",1k+,Xiaomi Official Store,6%,₫341.400,https://shopee.vn/product/1524999479/40805564536,https://s.shopee.vn/7fXQLW7pc5
25472352950,Quạt cầm tay mini Siêu mát 180 Độ xoay gấp gọn màn hình LED hiện thị kỹ thuật số,"360,0k",15,Thời đại Ai,12%,₫43.200,https://shopee.vn/product/1142008805/25472352950,https://s.shopee.vn/7VE09D8Sx4
